Price	Item title	Item description	Final URL	Image URL	ID	Item Category
165.00 UAH	Значок Герб України Сквозний	Значок тризуб виконано з латуні за технологією наскрізного травлення. Такі значки носять як прикрасу на одязі, сумках, рюкзаках. Жінки одягають такі патріотичні значки на капелюшки та косинки. Значок тризуб припаде до душі всім: від студентів до держслужбовців.	https://shop.dobroznak.com/katalog/znachki/znachok-gerb-ukrainy-skvoznoj	https://shop.dobroznak.com/components/com_jshopping/files/img_products/DSC_3408.jpg	4288748486	Значки / Піни в Наявності | Shop.Dobroznak
80.00 UAH	Футляр Для Значка з Прозорою Кришкою	Футляр має достатньо глибини щоб метелик не підіймав основу, на якій тримається значок. Фіксація дуже плотна, нічого нікуди не випадає. Виглядає дуже стильно. Як для пакування значка для подарунку - ідеальний варіант розмір вкладишу під значок - 30х35мм	https://shop.dobroznak.com/katalog/znachki/futlyar-dlya-znachka-z-prozoroyu-krishkoyu	https://shop.dobroznak.com/components/com_jshopping/files/img_products/photo_2022-09-22_10-44-45__2_.jpg	484140792	Значки / Піни в Наявності | Shop.Dobroznak
165.00 UAH	Значок Герб України Сквозний (Нікель)	Виконан за технологією сквозного травлення	https://shop.dobroznak.com/katalog/znachki/znachok-gerb-ukrainy-skvoznoj-nikel	https://shop.dobroznak.com/components/com_jshopping/files/img_products/IMG_4298_2.jpg	3808151694	Значки / Піни в Наявності | Shop.Dobroznak
165.00 UAH	Значок Герб України Міні з Полімером (Лінза)	Значок вкритий прозорим полімером, що надає значку обсягу	https://shop.dobroznak.com/katalog/znachki/znachok-gerb-ukrainy-mini-s-polimerom-linza	https://shop.dobroznak.com/components/com_jshopping/files/img_products/IMG_4296.jpg	479533657	Значки / Піни в Наявності | Shop.Dobroznak
150.00 UAH	Серце України Значок Хвиля	Значок вкритий прозорим полімером, що надає значку обсягу	https://shop.dobroznak.com/katalog/znachki/sertse-ukrajini-znachok-khvilya	https://shop.dobroznak.com/components/com_jshopping/files/img_products/IMG_4356.jpg	3481620595	Значки / Піни в Наявності | Shop.Dobroznak
280.00 UAH	Значок Прапор України (Гліттер)	Значок покритий прозорим полімером, що надає значку об'єму	https://shop.dobroznak.com/katalog/znachki/znachok-flag-ukrainy-glitter	https://shop.dobroznak.com/components/com_jshopping/files/img_products/IMG_4366.jpg	4018639978	Значки / Піни в Наявності | Shop.Dobroznak
165.00 UAH	Значок Пам'ятки Києва Kyiv	Значок пам'ятки києва kyiv	https://shop.dobroznak.com/katalog/znachki/znachok-dostoprimechatelnosti-kieva-kyiv	https://shop.dobroznak.com/components/com_jshopping/files/img_products/IMG_7253.jpg	2666162707	Значки / Піни в Наявності | Shop.Dobroznak
165.00 UAH	Значок Все Буде Україна	Значок покритий прозорим полімером, що надає значку об'єму	https://shop.dobroznak.com/katalog/znachki/znachok-vse-bude-ukrajina	https://shop.dobroznak.com/components/com_jshopping/files/img_products/photo_2022-07-08_11-41-20.jpg	1512337956	Значки / Піни в Наявності | Shop.Dobroznak
165.00 UAH	Значок Прапор України з Тризубом Маленький (Г)	Значок покритий прозорим полімером, що надає значку об'єму	https://shop.dobroznak.com/katalog/znachki/znachok-prapor-ukrajini-z-trizubom-malenkij-g	https://shop.dobroznak.com/components/com_jshopping/files/img_products/photo_2022-07-08_11-41-21.jpg	787110467	Значки / Піни в Наявності | Shop.Dobroznak
190.00 UAH	Значок Батько Наш Бандера - Україна Мати	Значок виготовлений з любов'ю до україни, вірою у нашу перемогу та щирою ненавистю до русні	https://shop.dobroznak.com/katalog/znachki/znachok-batko-nash-bandera-ukrajina-mati	https://shop.dobroznak.com/components/com_jshopping/files/img_products/photo_2022-06-24_17-56-39.jpg	2619323863	Значки / Піни в Наявності | Shop.Dobroznak
